Timestamp,SecurityId,Best_Bid_Price,Best_Bid_Qty,Best_Ask_Price,Best_Ask_Qty
2026-08-11T08:38:36.967994,3456,347.8,1.0,347.85,14.0
2026-08-11T08:38:36.968186,1922,391.25,177.0,391.35,376.0
2026-08-11T08:38:36.968502,11483,4042.6,7.0,4043.3,20.0
2026-08-11T08:38:36.968890,11915,22.66,90763.0,22.67,11710.0
2026-08-11T08:38:37.970672,1333,728.8,3847.0,728.85,873.0
2026-08-11T08:38:37.970981,2885,1324.1,89.0,1324.5,339.0
2026-08-11T08:38:37.971344,11536,2440.0,98.0,2440.2,74.0
2026-08-11T08:38:37.971652,1594,1188.3,295.0,1188.5,405.0
2026-08-11T08:38:37.971932,4963,1421.2,1101.0,1421.7,4.0
2026-08-11T08:38:37.972168,3045,1070.3,648.0,1070.5,719.0
2026-08-11T08:38:37.972332,3456,347.75,193.0,347.85,14.0
2026-08-11T08:38:37.972546,1922,391.25,180.0,391.3,2.0
2026-08-11T08:38:37.972816,11483,4042.6,1.0,4043.3,20.0
2026-08-11T08:38:37.973192,11915,22.66,90763.0,22.67,11710.0
2026-08-11T08:38:38.974879,1333,728.8,3849.0,728.85,967.0
2026-08-11T08:38:38.975146,2885,1324.1,34.0,1324.5,354.0
2026-08-11T08:38:38.975411,11536,2440.1,33.0,2440.2,74.0
2026-08-11T08:38:38.975666,1594,1188.5,334.0,1188.8,563.0
2026-08-11T08:38:38.975929,4963,1421.2,946.0,1421.6,390.0
2026-08-11T08:38:38.976235,3045,1070.3,707.0,1070.5,721.0
2026-08-11T08:38:38.976432,3456,347.75,193.0,347.85,9.0
2026-08-11T08:38:38.976644,1922,391.25,180.0,391.3,2.0
2026-08-11T08:38:38.976848,11483,4042.6,1.0,4043.3,20.0
2026-08-11T08:38:38.977066,11915,22.66,90763.0,22.67,11710.0
2026-08-11T08:38:39.978860,1333,728.8,3653.0,728.85,836.0
2026-08-11T08:38:39.979089,2885,1324.1,993.0,1324.3,16.0
2026-08-11T08:38:39.979257,11536,2440.1,80.0,2440.2,74.0
2026-08-11T08:38:39.979537,1594,1188.5,202.0,1188.8,851.0
2026-08-11T08:38:39.979816,4963,1421.2,178.0,1421.6,390.0
2026-08-11T08:38:39.980076,3045,1070.3,114.0,1070.5,611.0
2026-08-11T08:38:39.980316,3456,347.75,332.0,347.85,9.0
2026-08-11T08:38:39.980743,1922,391.25,175.0,391.3,2.0
2026-08-11T08:38:39.981002,11483,4042.3,5.0,4043.3,19.0
2026-08-11T08:38:39.981274,11915,22.66,90763.0,22.67,11710.0
2026-08-11T08:38:40.983211,1333,728.8,3670.0,728.85,661.0
2026-08-11T08:38:40.983489,2885,1324.1,1084.0,1324.3,16.0
2026-08-11T08:38:40.983701,11536,2440.2,3.0,2440.4,24.0
2026-08-11T08:38:40.983919,1594,1188.5,202.0,1188.8,833.0
2026-08-11T08:38:40.984166,4963,1421.2,178.0,1421.6,390.0
2026-08-11T08:38:40.984446,3045,1070.4,89.0,1070.5,494.0
2026-08-11T08:38:40.984801,3456,347.75,332.0,347.85,9.0
2026-08-11T08:38:40.985087,1922,391.2,91.0,391.25,3826.0
2026-08-11T08:38:40.985359,11483,4041.8,68.0,4043.2,4.0
2026-08-11T08:38:40.985683,11915,22.66,90763.0,22.67,11700.0
2026-08-11T08:38:41.987584,1333,728.8,3857.0,728.85,300.0
2026-08-11T08:38:41.987819,2885,1324.1,1170.0,1324.3,16.0
2026-08-11T08:38:41.987991,11536,2440.3,14.0,2440.4,13.0
